address,symbol,name,decimals,logo_uri,price_usdc,market_cap,liquidity_usd,volume_24h,price_change_24h,age_hours,pair_created_at,route_count,dexes,price_impact,has_dexscreener_data,is_tradeable,first_discovered_at,last_updated_at,discovery_source,tags,metadata,tx_count_24h,has_verified_contract,has_rug_check,rug_score,issues,quality_score,jupiter_ok,dex_ok,holders,invest_score
DFRaQWsgtbNr3a78926wLCCYmiGFueC3p5Ep4X3MRygE,SOYJAK,SOYJAK,6,https://cf-ipfs.com/ipfs/QmNUkR8V3RkGoRSmdqciJekbwbdcTXrmvBsBrfJDprNNFj,,,,,,,,,[],,0,0,2025-07-24 18:00:57,2025-07-24 18:00:57,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmNUkR8V3RkGoRSmdqciJekbwbdcTXrmvBsBrfJDprNNFj"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
FGK9EVh9EXRe8Xydh2zsRpyvW4Knh92uddnvFJtSpump,MYRO,First Solana Dog,6,https://cf-ipfs.com/ipfs/Qmb5qKTdEQizcdu7LEDifHEMic6UeiNj84ckgyVV26WSDz,,,,,,,,,[],,0,0,2025-07-24 18:00:58,2025-07-24 18:00:58,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/Qmb5qKTdEQizcdu7LEDifHEMic6UeiNj84ckgyVV26WSDz"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
E8NrmwjesHp1QKCD8S2xBbUCWeHYVxLj7KEjhbvSMsZC,PEPEPND,Pepe pond,9,https://sapphire-lazy-macaw-504.mypinata.cloud/ipfs/QmZqBL2Y2N9VKLddSV3JcFYnjQxK4siFgCh8WdUTsyak2S,,,,,,,,,[],,0,0,2025-07-24 18:02:07,2025-07-24 18:02:07,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://sapphire-lazy-macaw-504.mypinata.cloud/ipfs/QmZqBL2Y2N9VKLddSV3JcFYnjQxK4siFgCh8WdUTsyak2S"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,10.0,0,0,,
5GyFf8zH6e86MFrhJwCagiyEVFCspr64dHHaZh8r6LiG,TASTY,Big Tasty by Matt Furie / sHGQnYLhNgRNRcquHogYS7R7s2UcrNUNDiunALSpump,6,https://bafkreieh6zdhcqme5pob5vvaawmdigkduv66vwrxkxqatevvy2ucguwisa.ipfs.nftstorage.link,,,,,,,,,[],,0,0,2025-07-24 18:02:08,2025-07-24 18:02:08,jupiter,"[""unknown"", ""token-2022""]","{""jupiter_data"": {""logoURI"": ""https://bafkreieh6zdhcqme5pob5vvaawmdigkduv66vwrxkxqatevvy2ucguwisa.ipfs.nftstorage.link"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,8.0,0,0,,
9p7aZPoGipNNbnGntMFww5aGMbesYV7twbuuviD1bp5S,BTG,BATDOGE,3,https://arweave.net/FKppX6vpIA5WfHqp8yYPyWahlGNpDK64CRxgUk0rIfM?ext=png,,,,,,,,,[],,0,0,2025-07-24 18:02:09,2025-07-24 18:02:09,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://arweave.net/FKppX6vpIA5WfHqp8yYPyWahlGNpDK64CRxgUk0rIfM?ext=png"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,8.0,0,0,,
5UDayxrAck8uSuSJ8CCQfvdd51ioEj6JYQ7jDiPbpump,$GAYFATCAT,the gay fat cat,6,https://cf-ipfs.com/ipfs/QmWwovdCY2oWNSdFWYepprFVkVko54hSyFtwhModrk2LZc,,,,,,,,,[],,0,0,2025-07-24 18:02:09,2025-07-24 18:02:09,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmWwovdCY2oWNSdFWYepprFVkVko54hSyFtwhModrk2LZc"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,7.0,0,0,,
EDTc4D5ZjfjmK3rKEoG7CDMPKCzGMQgvT8sZcRyFpump,Nico,The Alien Seal,6,https://cf-ipfs.com/ipfs/QmNVNnwEbDdRbTGuMvZYzxFuyv1pQR6QvT1bqwd8k7yX7E,,,,,,,,,[],,0,0,2025-07-24 18:02:10,2025-07-24 18:02:10,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmNVNnwEbDdRbTGuMvZYzxFuyv1pQR6QvT1bqwd8k7yX7E"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
aUTbZbaH3unA1ZQ4j6dbLuMUYbkr4BYSSYdmamrEf5W,APPA,Avatar Aang's Appa,8,https://gateway.irys.xyz/8lhcVhm0J1K4NTbKSra5a0OWwsEoAQG4J0FwinXzJXw,,,,,,,,,[],,0,0,2025-07-24 18:02:11,2025-07-24 18:02:11,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://gateway.irys.xyz/8lhcVhm0J1K4NTbKSra5a0OWwsEoAQG4J0FwinXzJXw"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
8XSsNvaKU9FDhYWAv7Yc7qSNwuJSzVrXBNEk7AFiWF69,abUSDC,Wrapped USDC (Allbridge from BSC),9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/BXXkv6z8ykpG1yuvUDPgh732wzVHB69RnB9YgSYh3itW/logo.png,,,,,,,,,[],,0,0,2025-07-24 18:02:12,2025-07-24 18:02:12,jupiter,"[""old-registry""]","{""jupiter_data"": {""logoURI"": ""https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/BXXkv6z8ykpG1yuvUDPgh732wzVHB69RnB9YgSYh3itW/logo.png"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
8NZqqeTp86JiRfGrRtuX1EUmppdAwufRzGg6sAa8pump,BIGGIE,biggie,6,https://cf-ipfs.com/ipfs/QmVKWmAyNsAXvUEHMk6698fKN3BEiSuGwhEwJ6GaTNm2Ft,,,,,,,,,[],,0,0,2025-07-24 18:02:13,2025-07-24 18:02:13,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmVKWmAyNsAXvUEHMk6698fKN3BEiSuGwhEwJ6GaTNm2Ft"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
